Comment,Designator,Footprint,JLCPCB Part # (optional)
"0.1uF, 25V","C16,C13,C12,C15,C14,C17,C4,C3",C_0402_1005Metric,
"2k7, 1/10W, 0.5%","R9,R13",R_0402_1005Metric,
"1k3, 1/10W, 1%",R12,R_0402_1005Metric,
1uF,"C11,C9",C_0402_1005Metric,
"220k, 1/10W, 1%","R1,R2",R_0402_1005Metric,
"100k, 1/10W, 1%",R8,R_0402_1005Metric,
"2.2uF, 25V",C10,C_0402_1005Metric,
"1k, 1/10W, 1%","R10,R11",R_0402_1005Metric,
"10uF, 25V","C5,C2,C7,C1,C8,C6",C_0402_1005Metric,
"2k2, 1/10W, 1%",R4,R_0603_1608Metric,C4190
