Designator,Mid X,Mid Y,Layer,Rotation
C1,19.4,-9.9,top,180
C2,22.2,-8.2,top,90
C3,6.7,-11.7,top,90
C4,13.6,-7,top,-90
C5,10.7,-11.7,top,-90
C6,9.7,-11.7,top,-90
C7,8.7,-11.7,top,-90
C8,7.7,-11.7,top,-90
C9,13.9,-2.9,top,90
C10,15.9,-2.9,top,90
C11,15.281,-1.3705,top,0
C12,31.4,-1.6,top,180
C13,24.6,-9.7,top,180
C14,22.2,-4.5,top,90
C15,15.1,-9.9,top,180
C16,35.1,-5.1,top,0
C17,32.6,-11.9,top,0
C18,12.9,-14.2,top,180
C19,14.1,-11,top,0
R1,4.8,-8.8,top,-90
R2,4.8,-6.8,top,90
R3,22.7,-9.7,top,0
R4,9.29,-4.4,top,0
R5,19.4,-10.9,top,0
R6,12.2,-12.1,top,0
R7,31,-8.2,top,-90
R8,31,-6.2,top,-90
R9,12.9,-2.91,top,-90
R10,32.2,-4.5,top,-90
R11,31.38,-2.7,top,0
R12,14.9,-2.9,top,-90
R13,17.313,-1.3705,top,180
