Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0402_1005Metric",22.225000,-12.065000,180.000000,top
"C2","10uF","C_0402_1005Metric",24.384000,-15.875000,90.000000,top
"C3","0.1uF","C_0402_1005Metric",8.156000,-9.306500,0.000000,top
"C4","0.1uF","C_0402_1005Metric",16.002000,-4.544000,-90.000000,top
"C5","10uF","C_0402_1005Metric",13.716000,-9.969500,-90.000000,top
"C6","10uF","C_0402_1005Metric",12.573000,-9.969500,-90.000000,top
"C7","10uF","C_0402_1005Metric",11.430000,-9.969500,-90.000000,top
"C8","10uF","C_0402_1005Metric",10.287000,-9.969500,-90.000000,top
"C9","1uF","C_0402_1005Metric",18.415000,-3.810000,0.000000,top
"C10","2uF","C_0402_1005Metric",22.479000,-3.302000,90.000000,top
"C11","1uF","C_0402_1005Metric",21.717000,-1.524000,0.000000,top
"C12","0.1uF","C_0402_1005Metric",35.052000,-11.811000,180.000000,top
"C13","0.1uF","C_0402_1005Metric",25.527000,-15.875000,90.000000,top
"C14","0.1uF","C_0402_1005Metric",25.273000,-4.572000,-90.000000,top
"C15","0.1uF","C_0402_1005Metric",19.431000,-10.795000,180.000000,top
"C16","0.1uF","C_0402_1005Metric",35.814000,-5.588000,90.000000,top
"C17","0.1uF","C_0402_1005Metric",26.670000,-9.398000,90.000000,top
"R1","220k","R_0402_1005Metric",6.223000,-6.350000,0.000000,top
"R2","220k","R_0402_1005Metric",6.223000,-5.080000,0.000000,top
"R4","2k2","R_0603_1608Metric",11.430000,-1.778000,0.000000,top
"R8","100k","R_0402_1005Metric",35.179000,-1.649000,-90.000000,top
"R9","2k7","R_0402_1005Metric",18.415000,-2.667000,180.000000,top
"R10","1k","R_0402_1005Metric",33.528000,-1.141000,0.000000,top
"R11","1k","R_0402_1005Metric",33.528000,-2.284000,0.000000,top
"R12","1k3","R_0402_1005Metric",21.336000,-3.302000,-90.000000,top
"R13","2k7","R_0402_1005Metric",23.749000,-1.524000,180.000000,top
