Designator,Mid X,Mid Y,Rotation,Layer
C1,19.600000,-12.900000,180.000000,top
C2,12.400000,-18.700000,0.000000,top
C3,30.000000,-11.580000,90.000000,top
C4,28.280000,-10.000000,0.000000,top
C5,12.000000,-9.500000,90.000000,top
C6,19.000000,-5.500000,90.000000,top
C7,14.228500,-9.520000,-90.000000,top
C8,13.085500,-9.520000,-90.000000,top
C9,15.400000,-9.500000,-90.000000,top
C10,16.500000,-9.500000,-90.000000,top
C11,32.600000,-6.500000,0.000000,top
C12,22.400000,-6.700000,0.000000,top
C13,20.600000,-2.900000,180.000000,top
C14,18.600000,-1.800000,0.000000,top
C15,20.600000,-4.000000,0.000000,top
C16,7.320000,-18.031250,180.000000,top
C17,6.162500,-12.900000,180.000000,top
J1,2.000000,-11.000000,180.000000,top
J2,30.000000,-2.000000,90.000000,top
J3,30.000000,-18.000000,90.000000,top
R1,8.800000,-3.900000,0.000000,top
R2,8.800000,-5.200000,0.000000,top
R3,26.100000,-9.980000,180.000000,top
R4,28.300000,-11.100000,180.000000,top
R5,12.600000,-1.500000,0.000000,top
R6,13.900000,-11.800000,0.000000,top
R7,24.444665,-17.000000,180.000000,top
R8,11.800000,-16.200000,90.000000,top
R9,35.000000,-4.300000,0.000000,top
R10,20.600000,-1.800000,0.000000,top
R11,33.000000,-4.300000,180.000000,top
R12,19.000000,-3.500000,90.000000,top
R13,20.600000,-5.100000,180.000000,top
R14,12.300000,-14.200000,0.000000,top
R15,23.900000,-11.700000,0.000000,top
R16,7.500000,-6.900000,180.000000,top
R17,32.300000,-13.000000,180.000000,top
U1,17.100000,-16.400000,0.000000,top
U2,14.100000,-5.200000,0.000000,top
U3,27.530000,-6.500000,0.000000,top
U4,7.920000,-15.431250,0.000000,top
